"","age","day","grp.job","marital","education","housing","loan","contact","grp.month","grp.duration","grp.campaign","grp.pdays","grp.previous","y.subscribe","train.subscribe"
"20264",34,11,"2","2","2","0","1","2","2","0","2","0","0",0,0
"26957",31,21,"2","1","3","1","1","2","3","2","0","1","1",0,0
"42439",29,7,"0","1","2","0","0","2","0","2","1","1","1",1,0
"40958",71,13,"0","2","2","0","0","2","2","2","1","1","1",0,0
"21855",42,20,"2","1","2","0","0","2","2","2","1","0","0",0,0
"40091",22,4,"0","1","2","0","0","2","2","0","0","0","0",0,0
"2306",25,12,"3","1","2","1","1","0","1","0","2","0","0",0,0
"38950",57,18,"3","2","2","1","0","2","1","2","0","2","1",1,0
"29219",49,2,"2","2","3","0","1","2","0","2","0","1","1",0,0
"12576",54,3,"3","2","2","0","1","0","2","2","1","0","0",0,0
"19402",36,6,"3","1","3","1","0","2","2","2","1","0","0",0,0
"29729",52,4,"2","2","2","0","1","2","0","1","0","0","0",0,0
"3480",42,15,"1","2","2","1","1","0","1","1","0","0","0",0,0
"22202",31,21,"3","1","3","0","0","2","2","2","2","0","0",0,0
"13096",45,8,"3","0","2","0","1","2","2","2","0","0","0",0,0
"35959",34,8,"3","2","3","0","0","2","1","2","1","0","0",0,0
"16772",57,24,"2","2","1","1","0","2","2","0","2","0","0",0,0
"57",38,5,"2","1","3","1","0","0","1","0","0","0","0",0,0
"44388",38,3,"2","2","3","0","0","2","2","2","0","0","0",1,0
"13091",26,8,"3","1","2","0","1","2","2","1","0","0","0",0,0
"39595",36,26,"3","2","2","0","0","2","1","0","0","1","1",0,0
"10638",35,16,"3","1","1","1","0","0","2","0","0","0","0",0,0
"19822",52,8,"2","2","3","0","0","2","2","0","2","0","0",0,0
"12794",46,7,"3","2","2","0","0","2","2","1","1","0","0",0,0
"11814",27,20,"3","2","2","1","0","0","2","0","1","0","0",0,0
"31060",36,13,"3","1","3","0","0","2","0","0","0","0","0",0,0
"9300",39,5,"3","1","3","1","0","0","2","2","1","0","0",0,0
"26544",35,20,"1","1","1","1","0","2","3","0","0","0","0",0,0
"25034",36,18,"3","2","2","1","0","2","3","0","0","0","0",0,0
"43720",56,14,"2","2","1","0","0","2","1","1","0","1","1",1,0
"30075",44,4,"3","2","2","0","1","1","0","2","1","0","0",0,0
"13296",32,8,"3","2","2","0","0","2","2","1","1","0","0",0,0
"18078",59,30,"2","2","3","0","0","2","2","1","2","0","0",0,0
"22707",42,25,"2","1","3","0","0","2","2","0","2","0","0",0,0
"8465",35,3,"1","2","2","1","0","0","2","1","0","0","0",0,0
"28584",27,29,"3","2","2","1","0","2","0","0","1","0","0",0,0
"24886",37,18,"1","2","1","0","0","2","3","2","1","0","0",0,0
"27186",53,21,"2","2","0","0","0","2","3","1","0","0","0",0,0
"21635",40,19,"2","1","3","0","0","2","2","2","1","0","0",0,0
"15489",25,18,"2","2","3","1","0","2","2","0","2","0","0",0,0
"18223",40,30,"2","2","3","1","0","2","2","0","2","0","0",0,0
"34850",31,6,"0","1","0","1","0","2","1","0","1","0","0",0,0
"25584",52,19,"3","2","1","0","0","2","3","1","0","0","0",0,0
"7244",41,29,"3","2","3","1","1","0","1","0","0","0","0",0,0
"34727",30,5,"1","2","1","1","1","2","1","1","0","2","2",0,0
"7272",35,29,"3","2","2","1","0","0","1","2","1","0","0",0,0
"25406",42,18,"1","2","2","1","1","2","3","0","0","0","0",0,0
"15591",50,21,"0","0","1","0","0","2","2","1","1","0","0",0,0
"17188",45,28,"3","0","3","0","0","2","2","2","2","0","0",1,0
"14003",35,10,"1","0","2","0","1","2","2","0","2","0","0",0,0
"44339",61,29,"2","2","0","0","0","1","2","1","0","1","1",1,0
"2362",34,13,"1","1","1","1","0","0","1","0","0","0","0",0,0
"1489",50,8,"1","2","1","1","0","0","1","0","1","0","0",0,0
"12826",34,7,"3","0","2","0","1","2","2","2","0","0","0",0,0
"38431",29,15,"1","2","2","1","0","2","1","0","1","2","1",0,0
"29251",27,2,"3","1","3","0","0","2","0","0","1","0","0",0,0
"11722",35,20,"1","0","1","0","0","0","2","0","0","0","0",0,0
"24092",58,27,"0","2","1","0","0","1","3","0","0","0","0",0,0
"37119",44,13,"2","2","3","1","0","2","1","0","1","0","0",0,0
"3541",35,15,"2","1","1","1","0","0","1","0","2","0","0",0,0
"22342",43,22,"3","2","3","0","0","2","2","0","1","0","0",0,0
"27263",36,21,"3","1","2","1","1","2","3","0","0","1","1",0,0
"41118",58,17,"2","2","3","0","0","2","2","2","0","1","1",0,0
"3445",53,15,"3","2","2","1","1","0","1","0","0","0","0",0,0
"20763",55,13,"1","2","0","0","0","2","2","0","1","0","0",0,0
"39051",55,18,"0","0","3","0","0","2","1","2","0","2","1",1,0
"35390",44,7,"3","2","1","1","0","2","1","1","0","0","0",0,0
"6017",43,26,"3","2","1","1","0","0","1","0","2","0","0",0,0
"15013",58,17,"1","0","2","0","1","1","2","1","1","0","0",0,0
"22606",60,22,"1","2","1","0","0","2","2","1","0","0","0",0,0
"30346",59,5,"0","2","2","0","0","2","0","0","0","0","0",0,0
"24386",58,17,"2","0","3","1","1","2","3","1","0","0","0",0,0
"22801",48,25,"2","2","3","0","0","2","2","0","2","0","0",0,0
"36474",34,11,"2","2","3","1","1","2","1","0","1","0","0",0,0
"27362",52,21,"2","2","3","1","0","2","3","1","0","1","1",0,0
"22558",32,22,"3","2","3","0","0","2","2","0","2","0","0",0,0
"43325",59,18,"0","2","2","0","0","2","1","2","0","2","1",0,0
"8275",42,2,"3","2","2","0","0","0","2","2","2","0","0",0,0
"25468",46,19,"3","1","2","0","0","2","3","2","1","0","0",1,0
"36885",33,12,"3","2","2","1","1","2","1","0","1","2","1",0,0
"38624",38,15,"3","2","2","1","0","2","1","1","1","0","0",0,0
"16007",40,22,"2","2","3","1","0","2","2","2","1","0","0",0,0
"33399",39,20,"2","2","3","1","0","2","1","2","0","2","1",0,0
"35075",41,6,"1","2","1","1","0","2","1","2","1","2","1",0,0
"35724",44,8,"3","2","2","1","0","2","1","0","2","1","1",0,0
"4496",33,20,"3","1","2","1","0","0","1","1","0","0","0",0,0
"12495",44,1,"3","1","2","0","0","0","2","2","1","0","0",0,0
"41260",40,25,"2","1","3","1","0","2","2","0","1","1","1",0,0
"28310",48,29,"2","2","3","0","0","2","0","2","1","0","0",1,0
"6182",40,27,"3","2","2","1","1","0","1","1","0","0","0",0,0
"42698",42,18,"3","2","2","1","0","2","0","2","0","1","2",1,0
"11957",47,20,"3","2","3","0","0","0","2","0","2","0","0",0,0
"96",36,5,"2","2","3","1","1","0","1","2","0","0","0",0,0
"41139",39,18,"3","1","2","0","0","1","2","0","0","0","0",0,0
"42823",40,1,"2","1","3","0","0","2","0","0","0","2","1",0,0
"13670",31,9,"2","1","3","0","1","2","2","2","2","0","0",1,0
"4406",37,20,"2","0","3","1","1","0","1","0","2","0","0",0,0
"26694",52,20,"1","2","1","0","1","2","3","0","0","0","0",0,0
"31190",75,27,"0","2","2","0","0","1","0","0","0","0","0",0,0
"18456",51,31,"2","2","1","1","0","1","2","1","1","0","0",0,0
"2926",42,14,"3","2","2","1","0","0","1","2","0","0","0",0,0
"25192",45,18,"2","2","3","0","0","2","3","0","1","0","0",0,0
"40270",36,15,"3","0","3","0","0","2","2","0","0","0","0",0,0
"20085",45,11,"1","2","2","0","0","2","2","1","2","0","0",0,0
"39069",24,18,"3","2","2","1","1","2","1","1","1","0","0",0,0
"3121",36,14,"1","2","2","0","0","0","1","2","2","0","0",0,0
"37110",44,13,"3","2","3","1","0","2","1","0","1","0","0",0,0
"33615",55,20,"3","2","2","1","0","2","1","2","1","0","0",0,0
"9836",49,9,"1","2","1","0","0","0","2","1","1","0","0",0,0
"26444",56,20,"3","2","2","0","0","2","3","2","1","0","0",1,0
"33808",35,24,"3","1","2","0","0","2","1","0","1","0","0",0,0
"25923",54,19,"0","2","3","0","0","2","3","2","1","0","0",0,0
"27799",28,28,"0","1","3","0","0","2","0","0","1","0","0",0,0
"18013",46,30,"3","0","2","0","0","2","2","1","2","0","0",0,0
"36284",32,11,"1","0","2","1","1","2","1","0","1","0","0",0,0
"23073",42,26,"2","0","3","0","0","2","2","2","2","0","0",1,0
"41183",28,20,"0","1","2","0","0","2","2","2","1","1","1",1,0
"9940",39,9,"2","1","3","0","0","0","2","0","2","0","0",0,0
"1108",43,7,"1","2","1","1","0","0","1","2","1","0","0",0,0
"19415",39,6,"3","2","2","1","0","2","2","2","1","0","0",0,0
"4757",26,20,"1","1","2","1","0","0","1","0","2","0","0",0,0
"22324",41,22,"2","2","3","0","0","2","2","0","2","0","0",0,0
"44217",36,16,"2","0","3","0","0","2","2","1","1","1","1",0,0
"25517",37,19,"2","0","3","1","0","2","3","0","0","0","0",0,0
"45128",67,27,"1","2","2","0","0","2","3","1","1","0","0",0,0
"21015",30,14,"2","2","3","1","1","2","2","0","1","0","0",0,0
"7123",29,29,"1","2","0","1","0","0","1","1","1","0","0",0,0
"41779",28,13,"1","1","2","0","0","2","3","1","0","1","1",0,0
"22617",40,22,"2","2","2","0","0","2","2","1","2","0","0",0,0
"25373",34,18,"2","0","3","1","0","2","3","0","1","0","0",0,0
"37655",33,14,"2","1","3","1","0","2","1","2","0","1","1",0,0
"8843",57,4,"2","2","1","1","0","0","2","1","0","0","0",0,0
"33282",51,20,"3","1","2","1","0","2","1","0","2","0","0",0,0
"23839",46,29,"2","1","3","0","0","2","2","0","1","0","0",0,0
"15863",54,21,"3","2","2","0","1","2","2","0","2","0","0",0,0
"39520",35,25,"3","1","2","1","0","2","1","1","0","2","1",1,0
"33179",28,20,"3","1","2","1","0","2","1","0","1","0","0",0,0
"13900",57,10,"3","2","2","0","0","1","2","0","1","0","0",0,0
"17615",43,29,"2","2","3","0","0","2","2","2","1","0","0",0,0
"27062",30,21,"2","1","3","0","0","2","3","0","0","0","0",0,0
"6630",29,28,"2","2","3","1","0","0","1","0","0","0","0",0,0
"18358",44,31,"2","2","3","1","0","2","2","0","2","0","0",0,0
"29566",26,3,"3","1","2","0","1","2","0","1","0","0","0",0,0
"37001",30,13,"3","1","2","1","0","2","1","2","2","0","0",0,0
"5128",34,21,"1","2","2","1","0","0","1","0","1","0","0",0,0
"28917",29,2,"3","1","2","0","0","2","0","0","0","1","1",0,0
"25714",32,19,"1","1","2","1","0","2","3","1","0","0","0",0,0
"39927",43,2,"3","1","2","0","1","2","2","0","0","0","0",0,0
"472",39,6,"1","1","1","1","0","0","1","2","1","0","0",0,0
"34536",29,5,"3","1","2","1","0","2","1","0","0","0","0",0,0
"18286",37,31,"1","2","2","0","0","2","2","2","2","0","0",0,0
"17212",43,28,"3","2","2","0","0","2","2","1","1","0","0",0,0
"39946",34,2,"3","2","3","0","1","2","2","1","0","1","1",0,0
"43633",33,5,"1","1","2","0","0","1","1","0","0","1","1",0,0
"21807",42,20,"3","2","2","0","0","2","2","0","1","0","0",0,0
"760",37,6,"3","2","2","1","0","0","1","1","2","0","0",0,0
"41723",56,7,"3","2","2","0","0","2","3","1","0","0","0",0,0
"15162",45,17,"3","2","2","1","0","2","2","0","1","0","0",0,0
"41933",55,22,"2","0","3","0","0","2","3","2","2","0","0",1,0
"39961",27,3,"3","1","3","0","0","2","2","2","0","0","0",0,0
"44430",42,4,"2","2","3","1","0","2","2","0","1","1","1",1,0
"20371",55,11,"3","2","2","0","0","2","2","1","1","0","0",0,0
"18783",26,31,"1","1","1","0","1","2","2","0","2","0","0",0,0
"24858",56,18,"2","2","3","0","0","2","3","0","0","0","0",0,0
"45113",24,26,"0","1","2","0","0","1","3","1","1","1","1",0,0
"20441",54,12,"1","2","1","0","0","2","2","0","2","0","0",0,0
"42312",63,16,"2","2","3","0","0","1","3","0","2","0","0",0,0
"12521",45,3,"3","0","0","0","1","0","2","0","1","0","0",0,0
"36310",32,11,"1","1","2","1","0","2","1","2","0","0","0",0,0
"12217",45,20,"3","2","2","1","1","0","2","0","2","0","0",0,0
"44409",30,4,"3","1","3","0","0","2","2","1","0","1","1",1,0
"650",41,6,"3","2","2","1","1","0","1","0","1","0","0",0,0
"32645",45,17,"3","0","2","1","0","2","1","1","0","2","1",0,0
"15925",43,22,"2","0","3","1","1","2","2","2","1","0","0",0,0
"40430",28,2,"2","1","3","0","0","2","2","1","0","0","0",0,0
"15415",30,18,"2","2","3","1","1","2","2","1","0","0","0",0,0
"34692",28,5,"3","0","2","1","1","2","1","1","1","2","2",0,0
"14832",45,16,"3","1","2","0","0","2","2","0","0","0","0",0,0
"40436",31,2,"2","1","3","1","0","2","2","0","0","0","0",0,0
"17742",59,29,"1","2","3","0","1","2","2","2","1","0","0",0,0
"25867",30,19,"2","1","3","0","0","2","3","0","0","0","0",0,0
"1769",34,9,"3","2","2","1","0","0","1","0","0","0","0",0,0
"4931",27,21,"1","1","2","1","0","0","1","2","0","0","0",0,0
"11573",42,19,"3","0","2","1","0","0","2","2","1","0","0",0,0
"35900",34,8,"3","1","2","0","0","2","1","0","1","1","1",0,0
"40836",58,11,"2","2","1","1","0","2","2","1","0","2","1",1,0
"9329",36,6,"3","2","2","1","0","0","2","0","2","0","0",0,0
"21667",40,19,"2","2","3","0","0","2","2","0","1","0","0",0,0
"14976",42,16,"3","2","2","0","0","2","2","1","2","0","0",0,0
"1185",42,8,"2","2","1","1","0","0","1","1","0","0","0",0,0
"39191",27,18,"1","1","2","1","0","2","1","0","1","0","0",0,0
"41292",86,26,"0","0","1","0","0","1","2","1","0","0","0",1,0
"28945",35,2,"2","2","3","0","0","2","0","1","0","0","0",0,0
"16435",46,23,"3","2","2","0","1","2","2","0","1","0","0",0,0
"35918",34,8,"2","1","3","1","0","1","1","0","2","2","1",0,0
"44375",55,2,"3","2","0","1","0","2","2","0","1","2","1",1,0
"13914",25,10,"1","1","2","0","1","2","2","2","2","0","0",1,0
"6154",32,27,"3","1","2","1","1","0","1","0","1","0","0",0,0
"31514",36,2,"3","2","2","0","0","2","1","2","0","1","1",0,0
"9594",58,6,"0","2","2","0","0","0","2","1","1","0","0",0,0
"31321",50,11,"1","2","2","0","0","2","1","1","1","0","0",1,0
"24488",38,17,"2","2","2","1","1","2","3","0","0","0","0",0,0
"23583",50,28,"1","2","2","0","0","2","2","0","2","0","0",0,0
"1745",27,9,"2","1","3","1","0","0","1","0","1","0","0",0,0
"10095",53,11,"0","0","2","0","0","0","2","1","0","0","0",0,0
"8906",33,4,"3","2","2","1","0","0","2","0","1","0","0",0,0
"43526",76,23,"0","0","1","0","0","2","1","0","2","1","1",0,0
"22310",49,21,"1","2","1","0","0","2","2","0","0","0","0",0,0
"810",57,7,"3","2","2","0","0","0","1","0","0","0","0",0,0
"37310",34,13,"2","2","3","1","0","2","1","2","0","0","0",1,0
"42072",62,30,"2","2","3","0","0","2","3","1","1","0","0",1,0
"7168",53,29,"1","2","1","1","0","0","1","0","0","0","0",0,0
"7810",25,30,"2","1","0","1","0","0","1","0","1","0","0",0,0
"16745",58,24,"3","2","2","0","0","2","2","2","0","0","0",0,0
"10745",57,16,"2","0","0","0","0","0","2","2","1","0","0",0,0
"22784",46,25,"2","2","3","0","0","2","2","2","2","0","0",0,0
"12817",34,7,"3","1","2","0","0","2","2","0","0","0","0",0,0
"11384",59,19,"0","2","2","0","0","0","2","0","0","0","0",0,0
"5867",37,26,"1","0","2","1","0","0","1","2","1","0","0",1,0
"19123",51,5,"1","2","2","0","0","2","2","0","1","0","0",0,0
"23973",52,29,"3","2","2","0","0","2","2","0","1","0","0",0,0
"32828",32,17,"1","2","1","1","0","2","1","2","0","0","0",0,0
"45038",45,18,"2","1","3","1","0","2","3","1","0","2","1",1,0
"15194",40,17,"2","2","3","1","0","2","2","2","1","0","0",0,0
"34687",43,5,"1","2","1","1","0","2","1","0","2","0","0",0,0
"26192",49,20,"2","0","2","1","1","2","3","1","0","0","0",0,0
"7680",55,30,"0","1","1","1","0","0","1","0","1","0","0",0,0
"22484",58,22,"0","2","1","0","0","2","2","0","2","0","0",0,0
"32835",27,17,"1","1","2","1","1","2","1","2","1","2","1",0,0
"27633",41,21,"3","1","1","1","0","2","3","0","2","0","0",0,0
"2620",44,13,"3","2","2","0","0","0","1","1","0","0","0",0,0
"36054",38,11,"3","2","2","1","0","2","1","2","0","2","1",0,0
"25674",54,19,"3","2","2","1","0","2","3","0","0","0","0",0,0
"36767",31,12,"1","2","2","0","0","2","1","1","0","0","0",0,0
"10479",37,16,"3","2","2","0","0","0","2","0","1","0","0",0,0
"14695",39,15,"1","2","2","1","0","2","2","0","1","0","0",0,0
"5570",31,23,"2","1","3","1","0","0","1","0","1","0","0",0,0
"5002",38,21,"3","2","3","1","0","0","1","1","0","0","0",0,0
"41961",39,23,"3","2","2","1","0","2","3","2","0","1","1",0,0
"992",33,7,"2","2","3","1","0","0","1","0","0","0","0",0,0
"35384",43,7,"1","1","1","1","0","2","1","0","0","2","1",0,0
"2531",27,13,"3","1","2","1","0","0","1","1","1","0","0",0,0
"19900",57,8,"3","2","2","0","0","2","2","0","1","0","0",0,0
"4244",54,19,"1","2","2","1","0","0","1","0","0","0","0",0,0
"31844",31,8,"2","1","2","1","0","2","1","2","1","0","0",1,0
"5636",39,23,"2","2","3","1","1","0","1","2","1","0","0",0,0
"21661",40,19,"3","0","2","0","0","2","2","0","1","0","0",0,0
"17077",34,25,"3","0","2","1","0","2","2","0","1","0","0",0,0
"42614",35,11,"2","2","3","0","0","2","0","1","1","0","0",1,0
"29365",44,2,"3","0","3","1","0","2","0","2","1","0","0",0,0
"29509",65,3,"0","2","3","0","0","2","0","1","0","0","0",0,0
"37691",31,14,"3","2","2","1","0","2","1","2","0","1","1",1,0
"42586",61,29,"2","2","2","0","0","2","0","0","1","2","2",1,0
"25594",31,19,"1","1","3","1","0","2","3","1","0","0","0",0,0
"30263",29,5,"3","1","2","0","0","2","0","2","0","0","0",0,0
"39564",30,26,"2","1","3","0","0","2","1","0","1","1","1",0,0
"168",54,5,"3","2","2","1","0","0","1","1","0","0","0",0,0
"38545",28,15,"2","1","3","1","0","2","1","2","1","2","1",1,0
"44759",28,9,"3","2","2","0","0","0","3","0","0","2","1",0,0
"14243",25,14,"3","1","2","0","1","2","2","0","1","0","0",0,0
"8311",41,2,"3","0","2","1","0","0","2","0","1","0","0",0,0
"10067",50,11,"2","2","3","0","0","0","2","0","1","0","0",0,0
"36933",44,12,"3","1","2","1","1","2","1","0","1","0","0",0,0
"1630",40,9,"1","2","1","1","0","0","1","0","0","0","0",0,0
"6849",33,28,"1","1","2","1","0","0","1","0","2","0","0",0,0
"19905",33,8,"2","2","3","0","0","2","2","0","1","0","0",0,0
"31592",41,3,"1","2","2","1","0","2","1","2","0","0","0",0,0
"29964",60,4,"0","0","1","0","0","1","0","0","0","0","0",0,0
"37076",23,13,"3","2","2","1","1","1","1","0","2","2","1",0,0
"17442",26,28,"1","1","2","1","1","2","2","1","2","0","0",0,0
"29525",54,3,"2","2","3","0","0","2","0","2","0","0","0",1,0
"14587",32,15,"2","1","3","1","0","2","2","1","2","0","0",0,0
"13901",56,10,"0","2","3","0","0","1","2","0","0","0","0",0,0
"39168",38,18,"3","1","2","1","0","2","1","0","1","1","1",0,0
"1628",45,9,"3","2","2","1","0","0","1","1","0","0","0",0,0
"7438",28,29,"2","1","3","1","0","0","1","0","1","0","0",0,0
"28134",40,29,"3","2","2","0","0","2","0","2","0","0","0",0,0
"41411",31,3,"2","1","3","0","0","2","3","2","0","1","1",1,0
"35351",29,7,"1","1","2","0","0","2","1","0","0","2","1",0,0
"44441",38,5,"3","1","2","0","0","2","2","1","1","1","2",0,0
"40106",44,4,"2","2","3","0","0","2","2","0","0","0","0",0,0
"3392",26,15,"3","1","3","1","0","0","1","2","0","0","0",0,0
"18570",49,31,"3","2","2","0","0","2","2","0","2","0","0",0,0
"32966",53,17,"3","0","2","1","0","2","1","0","1","2","2",0,0
"33175",30,20,"2","2","3","1","0","2","1","1","0","0","0",0,0
"7617",43,30,"1","2","2","0","1","0","1","0","0","0","0",0,0
"25549",31,19,"3","1","3","0","0","2","3","0","0","0","0",0,0
"24722",44,17,"3","0","2","1","0","0","3","0","0","1","1",0,0
"29311",43,2,"3","1","2","1","1","2","0","2","1","1","1",1,0
"3723",56,16,"2","0","3","1","0","0","1","0","2","0","0",0,0
"11390",38,19,"2","2","3","1","1","0","2","0","0","0","0",0,0
"36450",35,11,"1","2","1","1","0","2","1","1","1","2","2",0,0
"7406",49,29,"1","2","2","1","0","0","1","0","1","0","0",0,0
"14983",32,16,"3","2","2","1","0","2","2","2","2","0","0",0,0
"9324",60,6,"3","0","2","0","0","0","2","0","0","0","0",0,0
"28116",31,28,"3","1","2","0","0","1","0","0","2","0","0",0,0
"8095",30,2,"3","1","2","1","0","0","2","0","0","0","0",0,0
"38144",35,15,"1","2","2","1","0","2","1","2","0","2","1",0,0
"43685",29,12,"2","1","3","0","0","2","1","2","0","1","1",1,0
"37793",47,14,"2","2","3","1","0","2","1","1","2","0","0",0,0
"9943",49,9,"1","2","2","0","1","0","2","2","1","0","0",0,0
"16748",36,24,"2","2","3","1","1","2","2","2","0","0","0",0,0
"3851",40,16,"1","2","2","1","0","0","1","0","1","0","0",0,0
"24792",38,18,"3","1","3","0","0","2","3","2","0","0","0",0,0
"27569",31,21,"2","1","3","1","0","2","3","2","1","1","1",0,0
"25751",43,19,"3","0","2","0","0","2","3","1","0","1","1",0,0
"30021",35,4,"2","1","3","0","0","2","0","1","1","0","0",0,0
"14972",48,16,"2","2","2","0","0","2","2","1","0","0","0",0,0
"15797",49,21,"3","2","3","0","1","2","2","1","0","0","0",0,0
"23968",31,29,"2","2","3","0","0","2","2","0","2","0","0",0,0
"43277",75,11,"0","2","1","0","0","1","1","1","1","1","1",0,0
"39370",32,22,"3","1","3","0","0","2","1","2","0","1","1",1,0
"43904",73,14,"0","2","1","0","0","2","2","0","2","1","1",0,0
"40949",45,13,"0","0","1","0","0","2","2","2","2","0","0",1,0
"31316",32,11,"2","2","3","0","0","2","1","0","0","0","0",1,0
"33260",48,20,"3","2","2","1","0","2","1","2","0","2","1",0,0
"4127",43,19,"1","2","1","1","0","0","1","0","0","0","0",0,0
"18393",51,31,"3","2","0","0","0","2","2","0","1","0","0",0,0
"17457",50,28,"1","1","0","0","0","1","2","0","2","0","0",0,0
"28183",60,29,"3","2","2","0","0","2","0","0","0","1","2",0,0
"36055",34,11,"2","2","1","1","0","2","1","2","0","0","0",0,0
"45008",29,13,"3","2","3","1","1","2","3","2","1","2","1",0,0
"10954",55,17,"2","2","2","0","0","0","2","0","1","0","0",0,0
"25248",36,18,"2","2","3","1","0","2","3","0","1","0","0",0,0
"13349",32,8,"3","2","2","1","0","2","2","2","2","0","0",0,0
"13855",51,10,"3","0","2","0","1","2","2","0","0","0","0",0,0
"32304",51,16,"2","2","2","1","1","2","1","2","0","1","1",0,0
"21178",34,14,"2","2","3","0","0","2","2","2","0","0","0",0,0
"42154",34,4,"2","2","3","0","0","2","3","2","0","1","1",1,0
"29399",37,2,"1","2","1","1","1","2","0","0","1","2","1",0,0
"40547",28,8,"2","1","3","0","0","2","2","1","1","0","0",1,0
"21450",48,18,"3","2","3","0","0","2","2","2","1","0","0",0,0
"43437",69,12,"0","2","1","0","0","2","1","0","0","1","1",0,0
"14199",36,11,"3","2","0","0","0","2","2","2","1","0","0",0,0
"14901",38,16,"2","2","3","1","0","2","2","0","0","0","0",0,0
"44865",46,23,"2","2","3","0","0","2","3","0","0","2","1",0,0
"41056",58,14,"2","0","3","0","0","2","2","0","1","1","1",0,0
"27201",34,21,"1","2","2","1","1","2","3","0","2","0","0",0,0
"42942",45,8,"3","2","2","0","0","1","0","1","0","2","1",1,0
"14027",36,11,"3","2","2","1","0","2","2","2","0","0","0",0,0
"33652",35,20,"3","2","2","1","1","2","1","1","2","0","0",0,0
"2191",31,12,"3","1","2","1","0","0","1","2","1","0","0",0,0
"37343",34,13,"0","2","2","1","0","2","1","0","0","0","0",0,0
"24193",53,17,"3","2","2","0","0","2","3","0","0","0","0",0,0
"17747",57,29,"2","2","3","1","0","2","2","0","1","0","0",0,0
"5148",34,21,"3","2","2","1","0","0","1","2","0","0","0",0,0
"41060",26,14,"3","1","3","1","0","2","2","1","1","2","1",0,0
"7986",39,2,"2","0","3","1","1","0","2","2","1","0","0",0,0
"43272",37,11,"2","2","3","0","0","2","1","0","2","1","1",0,0
"16284",40,23,"1","2","2","0","0","2","2","0","0","0","0",0,0
"22322",47,22,"1","2","2","0","0","2","2","0","2","0","0",0,0
"30976",31,9,"2","1","3","0","0","2","0","0","1","0","0",0,0
"8881",29,4,"3","1","2","0","0","0","2","0","1","0","0",0,0
"31065",53,13,"2","0","3","0","0","2","0","0","1","0","0",1,0
"2474",47,13,"3","2","2","1","0","0","1","0","0","0","0",0,0
"26691",44,20,"1","2","2","0","0","2","3","2","0","0","0",0,0
"25889",43,19,"1","2","1","1","0","2","3","0","0","0","0",0,0
"20753",51,13,"2","2","0","0","0","2","2","1","1","0","0",0,0
"2299",44,12,"2","1","3","1","0","0","1","0","2","0","0",0,0
"36839",28,12,"0","1","2","1","0","2","1","0","0","0","0",0,0
"21055",47,14,"3","2","2","0","0","2","2","2","1","0","0",0,0
"25280",33,18,"2","2","3","1","0","2","3","0","1","1","1",0,0
"10164",38,11,"1","2","1","1","0","0","2","0","0","0","0",0,0
"18256",39,31,"3","2","2","1","0","2","2","0","2","0","0",0,0
"25066",34,18,"1","2","2","1","0","2","3","0","0","0","0",0,0
"5175",32,21,"1","2","2","1","0","0","1","2","1","0","0",1,0
"21257",48,18,"1","2","0","0","0","2","2","0","2","0","0",0,0
"39906",38,2,"3","2","2","1","0","2","2","1","0","1","2",1,0
"17340",29,28,"2","2","3","1","1","2","2","2","1","0","0",0,0
"6356",34,27,"1","2","2","1","0","0","1","0","0","0","0",0,0
"41462",64,7,"0","2","0","0","0","1","3","1","0","0","0",0,0
"32892",30,17,"3","1","2","1","0","2","1","2","1","0","0",0,0
"26815",38,20,"3","1","2","0","0","2","3","2","2","0","0",0,0
"20975",32,14,"0","2","3","1","0","2","2","1","1","0","0",0,0
"34660",31,5,"3","2","2","1","0","2","1","2","2","2","1",0,0
"19362",57,6,"0","2","1","1","0","2","2","0","1","0","0",0,0
"33156",31,20,"1","1","1","1","0","2","1","1","1","2","2",0,0
"24931",35,18,"1","2","1","1","0","0","3","1","0","0","0",0,0
"8261",54,2,"2","2","1","1","0","0","2","2","1","0","0",0,0
"3599",47,15,"3","2","2","1","0","0","1","2","2","0","0",0,0
"33000",38,17,"3","2","3","0","0","2","1","0","1","0","0",0,0
"2603",40,13,"1","2","2","1","0","0","1","2","0","0","0",0,0
"1881",45,9,"3","2","1","1","0","0","1","1","1","0","0",0,0
"27803",46,28,"2","2","3","0","0","2","0","0","0","0","0",0,0
"34547",26,5,"3","2","2","1","1","2","1","0","0","0","0",0,0
"40198",50,8,"1","2","2","0","0","2","2","0","1","1","1",0,0
"6741",45,28,"1","2","0","1","0","0","1","1","1","0","0",0,0
"12204",54,20,"0","2","0","0","0","0","2","0","2","0","0",0,0
"8274",32,2,"1","1","2","1","1","0","2","0","0","0","0",0,0
"3016",38,14,"3","1","2","1","0","0","1","1","1","0","0",0,0
"1802",29,9,"3","1","2","1","0","0","1","0","0","0","0",0,0
"19083",56,5,"0","2","2","0","0","2","2","0","0","0","0",0,0
"36584",39,12,"1","2","2","1","1","2","1","2","0","0","0",1,0
"18654",41,31,"1","2","1","0","0","2","2","0","1","0","0",0,0
"35364",47,7,"1","2","1","1","0","2","1","0","0","0","0",0,0
"22398",57,22,"3","2","2","0","0","2","2","0","1","0","0",0,0
"28861",28,30,"1","1","1","0","0","2","0","0","1","0","0",0,0
"32777",39,17,"3","2","2","1","0","2","1","2","0","0","0",0,0
